2016-02-01,adal,541
2016-02-01,aenum,403
2016-02-01,agate,3662
2016-02-01,aiofiles,270
2016-02-01,aiohttp,50878
2016-02-01,aiomysql,1868
2016-02-01,aiopg,5368
2016-02-01,alabaster,379565
2016-02-01,alembic,265527
2016-02-01,amqp,563665
2016-02-01,analytics-python,50538
2016-02-01,aniso8601,164215
2016-02-01,ansible,300699
2016-02-01,antlr4-python3-runtime,1480
2016-02-01,apispec,3287
2016-02-01,appdirs,247810
2016-02-01,applicationinsights,803
2016-02-01,apscheduler,403559
2016-02-01,argcomplete,39019
2016-02-01,argon2-cffi,4387
2016-02-01,argparse,1691095
2016-02-01,arrow,100512
2016-02-01,asgiref,613
2016-02-01,asn1crypto,949
2016-02-01,astor,2076
2016-02-01,astroid,323870
2016-02-01,astunparse,1069
2016-02-01,asyncio,9804
2016-02-01,asyncio-redis,2882
2016-02-01,asynctest,2183
2016-02-01,attrs,42076
2016-02-01,autopep8,57206
2016-02-01,avro,39763
2016-02-01,avro-python3,868
2016-02-01,awscli,4219217
2016-02-01,aws-requests-auth,30820
2016-02-01,azure-common,18785
2016-02-01,azure-graphrbac,756
2016-02-01,azure-mgmt-authorization,765
2016-02-01,azure-mgmt-cdn,764
2016-02-01,azure-mgmt-compute,13929
2016-02-01,azure-mgmt-network,13585
2016-02-01,azure-mgmt-nspkg,12841
2016-02-01,azure-mgmt-redis,755
2016-02-01,azure-mgmt-resource,13607
2016-02-01,azure-mgmt-storage,13352
2016-02-01,azure-mgmt-web,761
2016-02-01,azure-nspkg,18669
2016-02-01,azure-servicebus,13046
2016-02-01,babel,923771
2016-02-01,backcall,163
2016-02-01,backoff,3753
2016-02-01,bcrypt,77026
2016-02-01,beautifulsoup4,575683
2016-02-01,billiard,387279
2016-02-01,bitarray,74441
2016-02-01,bleach,88008
2016-02-01,blinker,150795
2016-02-01,boto,2688537
2016-02-01,boto3,537891
2016-02-01,botocore,4746504
2016-02-01,bottle,97895
2016-02-01,bottle-sqlalchemy,1099
2016-02-01,bs4,217
2016-02-01,build,1072
2016-02-01,bytecode,901
2016-02-01,cachecontrol,37991
2016-02-01,cached-property,80568
2016-02-01,cachetools,152157
2016-02-01,cchardet,18488
2016-02-01,celery,402220
2016-02-01,cerberus,16369
2016-02-01,certifi,679197
2016-02-01,cffi,2613407
2016-02-01,chameleon,36788
2016-02-01,chardet,178139
2016-02-01,cheroot,190
2016-02-01,cleo,1019
2016-02-01,click,491617
2016-02-01,click-plugins,8774
2016-02-01,cligj,9419
2016-02-01,cloudpickle,8836
2016-02-01,colorama,4168626
2016-02-01,coloredlogs,19719
2016-02-01,colorlog,51615
2016-02-01,configargparse,111498
2016-02-01,configparser,85811
2016-02-01,connexion,13330
2016-02-01,contextlib2,316458
2016-02-01,convertdate,494
2016-02-01,coverage,1267471
2016-02-01,crcmod,42797
2016-02-01,cron-descriptor,1240
2016-02-01,croniter,88438
2016-02-01,cryptography,1265005
2016-02-01,cssselect,139460
2016-02-01,cycler,108722
2016-02-01,cymem,4151
2016-02-01,cython,279464
2016-02-01,dask,5574
2016-02-01,datadog,130017
2016-02-01,datasets,235
2016-02-01,dateparser,5967
2016-02-01,datetime,17559
2016-02-01,decorator,1035252
2016-02-01,deepdiff,7834
2016-02-01,defusedxml,79654
2016-02-01,deprecation,192
2016-02-01,dill,68387
2016-02-01,diskcache,7662
2016-02-01,distlib,4553
2016-02-01,distributed,3922
2016-02-01,distro,109
2016-02-01,django-cors-headers,98031
2016-02-01,django-filter,144623
2016-02-01,djangorestframework,316736
2016-02-01,dnspython,208479
2016-02-01,docopt,620417
2016-02-01,docutils,4914638
2016-02-01,dulwich,7880
2016-02-01,ecdsa,1882171
2016-02-01,edgegrid-python,1292
2016-02-01,elasticsearch,314348
2016-02-01,elasticsearch-dsl,59830
2016-02-01,email-validator,2473
2016-02-01,entrypoints,460
2016-02-01,enum34,1440251
2016-02-01,et-xmlfile,48997
2016-02-01,events,4847
2016-02-01,execnet,145464
2016-02-01,fabric,327622
2016-02-01,faker,7517
2016-02-01,falcon,44188
2016-02-01,fastavro,21581
2016-02-01,fasteners,224006
2016-02-01,filelock,16743
2016-02-01,fiona,11253
2016-02-01,flake8,765584
2016-02-01,flask-appbuilder,10516
2016-02-01,flask-cors,56425
2016-02-01,flask-limiter,12851
2016-02-01,flask-login,104518
2016-02-01,flask-sqlalchemy,163085
2016-02-01,flask-wtf,138378
2016-02-01,flatbuffers,564
2016-02-01,fonttools,2238
2016-02-01,freezegun,149907
2016-02-01,frozendict,2940
2016-02-01,ftfy,5053
2016-02-01,funcsigs,904356
2016-02-01,future,178710
2016-02-01,futures,2210156
2016-02-01,fuzzywuzzy,75927
2016-02-01,geographiclib,5631
2016-02-01,geoip2,74473
2016-02-01,geopandas,1996
2016-02-01,geopy,50293
2016-02-01,gevent,318417
2016-02-01,gitdb,140161
2016-02-01,gitpython,151367
2016-02-01,google-api-python-client,369213
2016-02-01,googleapis-common-protos,6876
2016-02-01,graphene,4336
2016-02-01,graphql-core,3185
2016-02-01,graphql-relay,2406
2016-02-01,graphviz,20426
2016-02-01,greenlet,522487
2016-02-01,grpcio,4918
2016-02-01,gspread,37665
2016-02-01,gsutil,13260
2016-02-01,gunicorn,441999
2016-02-01,h2,7603
2016-02-01,h5py,35203
2016-02-01,hiredis,94211
2016-02-01,holidays,3157
2016-02-01,hpack,38268
2016-02-01,html5lib,422257
2016-02-01,httplib2,896288
2016-02-01,httptools,236
2016-02-01,hug,5334
2016-02-01,humanfriendly,22056
2016-02-01,humanize,37652
2016-02-01,hvac,3212
2016-02-01,hyperframe,8196
2016-02-01,hypothesis,27429
2016-02-01,idna,1088440
2016-02-01,ijson,37965
2016-02-01,imageio,5794
2016-02-01,imagesize,28149
2016-02-01,imdbpy,3097
2016-02-01,inflect,52297
2016-02-01,inflection,46861
2016-02-01,iniconfig,135
2016-02-01,inject,1943
2016-02-01,invoke,26922
2016-02-01,ipykernel,109743
2016-02-01,ipython,516147
2016-02-01,ipython-genutils,324420
2016-02-01,ipywidgets,89057
2016-02-01,iso8601,417527
2016-02-01,isodate,70865
2016-02-01,isort,47168
2016-02-01,itsdangerous,719901
2016-02-01,jaraco-classes,4948
2016-02-01,jaraco-context,698
2016-02-01,jaraco-functools,5593
2016-02-01,jaydebeapi,24160
2016-02-01,jedi,61239
2016-02-01,jellyfish,12293
2016-02-01,jira,82757
2016-02-01,jmespath,4334677
2016-02-01,joblib,42703
2016-02-01,jpype1,5151
2016-02-01,json5,1090
2016-02-01,jsondiff,218
2016-02-01,jsonpatch,182216
2016-02-01,jsonpickle,31185
2016-02-01,jsonpointer,181109
2016-02-01,jsonschema,679178
2016-02-01,junit-xml,55304
2016-02-01,jupyter,55156
2016-02-01,jupyter-client,99929
2016-02-01,jupyter-console,58798
2016-02-01,jupyter-core,100247
2016-02-01,kafka-python,173691
2016-02-01,keras,14084
2016-02-01,keyring,49715
2016-02-01,kiwisolver,681
2016-02-01,klein,6797
2016-02-01,kombu,578505
2016-02-01,langcodes,420
2016-02-01,lark,230
2016-02-01,lazy-object-proxy,222286
2016-02-01,limits,8988
2016-02-01,llvmlite,4760
2016-02-01,locket,2585
2016-02-01,lockfile,377623
2016-02-01,logbook,155393
2016-02-01,lxml,891491
2016-02-01,lz4,11911
2016-02-01,mako,747261
2016-02-01,marisa-trie,3940
2016-02-01,markdown,298435
2016-02-01,marshmallow,61330
2016-02-01,marshmallow-sqlalchemy,6639
2016-02-01,matplotlib,207340
2016-02-01,maxminddb,74863
2016-02-01,mccabe,758865
2016-02-01,meinheld,2922
2016-02-01,mistune,114271
2016-02-01,mmh3,42501
2016-02-01,mock,1402172
2016-02-01,monotonic,318065
2016-02-01,more-itertools,41480
2016-02-01,morepath,1298
2016-02-01,moto,66687
2016-02-01,mpmath,42311
2016-02-01,msrest,1817
2016-02-01,msrestazure,1417
2016-02-01,multidict,1900
2016-02-01,multiprocess,17420
2016-02-01,murmurhash,4394
2016-02-01,mypy,2205
2016-02-01,mysqlclient,59888
2016-02-01,natsort,25721
2016-02-01,nbconvert,97691
2016-02-01,nbformat,96443
2016-02-01,ndg-httpsclient,565646
2016-02-01,netaddr,494699
2016-02-01,networkx,257262
2016-02-01,ninja,110
2016-02-01,nltk,150361
2016-02-01,nodeenv,67226
2016-02-01,nose,1312273
2016-02-01,notebook,102345
2016-02-01,numba,4883
2016-02-01,numpy,786675
2016-02-01,oauth2client,539698
2016-02-01,oauthlib,414173
2016-02-01,openpyxl,99094
2016-02-01,ordered-set,3072
2016-02-01,oscrypto,715
2016-02-01,overrides,3186
2016-02-01,packaging,113231
2016-02-01,pandas,266559
2016-02-01,pandocfilters,5969
2016-02-01,paramiko,1759428
2016-02-01,parse,62589
2016-02-01,parsedatetime,106487
2016-02-01,partd,905
2016-02-01,pastedeploy,288982
2016-02-01,pathlib2,1915
2016-02-01,pathlib,72653
2016-02-01,pathos,497
2016-02-01,pathspec,44401
2016-02-01,patsy,126967
2016-02-01,pbr,2635406
2016-02-01,pexpect,382257
2016-02-01,pg8000,50449
2016-02-01,phonenumbers,124060
2016-02-01,pickleshare,354306
2016-02-01,pika,459690
2016-02-01,pillow,891911
2016-02-01,pip,5332760
2016-02-01,piprot,2948
2016-02-01,pip-tools,28824
2016-02-01,pkginfo,45828
2016-02-01,plotly,25920
2016-02-01,pluggy,315141
2016-02-01,ply,215161
2016-02-01,pony,2976
2016-02-01,portalocker,12116
2016-02-01,portend,496
2016-02-01,pox,15125
2016-02-01,ppft,15067
2016-02-01,pre-commit,20737
2016-02-01,preshed,5019
2016-02-01,prettytable,356681
2016-02-01,priority,353
2016-02-01,progressbar2,11941
2016-02-01,prometheus-client,3431
2016-02-01,prompt-toolkit,54658
2016-02-01,protobuf,323548
2016-02-01,protobuf3-to-dict,164
2016-02-01,psutil,1050082
2016-02-01,psycopg2,794842
2016-02-01,psycopg2cffi,6809
2016-02-01,ptyprocess,404051
2016-02-01,py4j,20393
2016-02-01,py,847493
2016-02-01,pyaml,74660
2016-02-01,pyasn1,5229049
2016-02-01,pyasn1-modules,535689
2016-02-01,pybind11,631
